row_type,point_index,amoc_sv,c_k,eke_c_k,eke_c_eps,kappaH_min,sss_offset
POINT,255,-5.204451855044427,0.100519711684143,0.1456519816811882,0.01000000000000001,1.000000000000566e-07,0.8004866707167207
POINT,395,-5.217589062467977,0.01000000000000001,0.4001275493782186,1,1.000000000000566e-07,0.7905704042816322
POINT,193,-5.247678454338049,0.08354517375975154,0.3061107550841562,0.09030676022729278,1.000000000000566e-07,0.7752077504625503
POINT,338,-5.288170203292181,0.3,0.1039266916377623,0.01000000000000001,1.000000000000566e-07,0.794055195305261
POINT,156,-5.311476508511108,0.07347436376971518,0.4518264314547117,0.3608582697453535,1.000000000000566e-07,0.7625803794123536
POINT,280,-5.327982244027416,0.232111975672273,0.03866447261207179,0.8387346925402248,1.000000000000566e-07,0.7836268998509299
POINT,272,-5.333523110455824,0.01000000000000001,0.03690541211582318,0.1150382022503241,1.000000000000566e-07,0.802698024183094
POINT,160,-5.341511126483121,0.01000000000000001,0.4403967332717829,0.7302447167905701,1.000000000000566e-07,0.756377439613601
POINT,534,-5.341605601105247,0.3,0.2329124073164186,1,1.000000000000566e-07,0.7720337254802332
POINT,209,-5.344578127195235,0.1553926001853112,0.340052678734228,0.9405671305379886,1.000000000000566e-07,0.7751550826724458
POINT,216,-5.344630506081043,0.01000000000000001,0.1095910241469991,0.7826138341794781,1.000000000000566e-07,0.7938040832957306
POINT,182,-5.363549189766528,0.02634567335363269,0.3697500180800732,0.3039266506895237,1.000000000000566e-07,0.7574687569143816
POINT,222,-5.374257268679952,0.3,0.366944648049876,0.3932798149874498,1.000000000000566e-07,0.76077243393376
POINT,166,-5.409783198145816,0.1824517081619879,0.4754445927481329,0.6243325002242107,1.000000000000566e-07,0.7491391229273276
POINT,301,-5.425743855544193,0.2522980734904571,0.01000000000000001,0.01867366143848381,1.000000000000566e-07,0.7665006897294705
POINT,185,-5.456276798057462,0.1434457327495138,0.4351685547724424,0.04409185472330313,1.000000000000566e-07,0.6526696769941573
POINT,173,-5.497412764492133,0.2820449295526652,0.2436099800762683,0.1011932212214956,1.000000000000566e-07,0.7441536444372181
POINT,273,-5.506917429220215,0.01000000000000001,0.01000000000000001,0.8410386914244532,1.000000000000566e-07,0.7631574177745882
POINT,343,-5.520247961896309,0.01000000000000001,0.5,0.01000000000000001,1.000000000000566e-07,0.4904017276695743
POINT,237,-5.536350819633427,0.2203902765626458,0.1548229423518662,0.01000000000000001,1.000000000000566e-07,0.7298381252626753
POINT,205,-5.542030365061565,0.01000000000000001,0.1655015068986367,0.420058591730179,1.000000000000566e-07,0.7513320815270204
POINT,204,-5.570279679933975,0.02167060558528949,0.1729698263839264,0.8774331490589797,1.000000000000566e-07,0.7465739417791524
POINT,127,-5.582732210387707,0.2807569450200154,0.4701498113342377,0.2880820651602007,1.000000000000566e-07,0.7103078280417875
POINT,228,-5.616072035795159,0.07701890444263493,0.08527143214807448,0.3680501587580757,1.000000000000566e-07,0.7448223409138082
POINT,473,-5.673516163476051,0.1846336344074736,0.2873913002259805,0.01000000000000001,1.000000000000566e-07,0.6117601289747779
POINT,174,-5.681483594817195,0.03696150175290171,0.3994417535628351,0.7507419038402339,1.000000000000566e-07,0.7069747697907658
POINT,531,-5.682758137550034,0.01000000000000001,0.01000000000000001,0.01000000000000001,1.000000000000566e-07,0.7328391633907108
POINT,192,-5.685691902660931,0.1841496306934909,0.3342610756791735,0.450472389112181,1.000000000000566e-07,0.7133502876002464
POINT,169,-5.691676639946118,0.178063957217659,0.4120775691612869,0.4097696236073887,1.000000000000566e-07,0.7043219777866859
POINT,342,-5.693039489861778,0.3,0.09725673967417534,1,1.000000000000566e-07,0.7118223729454788
POINT,186,-5.702939381330886,0.2725702622087123,0.3739649239003373,1,1.000000000000566e-07,0.7037651914310198
POINT,151,-5.707803516070612,0.09184144426752607,0.407443896330048,0.8240079353106924,6.607559174867921e-05,0.8011709725012859
POINT,120,-5.715459992668609,0.153447894215596,0.4697089728550081,0.4830306767985655,3.808597610781717e-06,0.6950276529707234
POINT,140,-5.716145641069794,0.01000000000000001,0.1005545300606489,1,1.000000000000566e-07,0.7208310558190766
POINT,198,-5.73104192126583,0.3,0.3123376764197786,0.2899415305423082,1.000000000000566e-07,0.7037216494894146
POINT,230,-5.736066027267775,0.01000000000000001,0.2713858200054664,0.1465835026027962,1.000000000000566e-07,0.697551496520037
POINT,171,-5.763698834864232,0.1502291399625001,0.2753351085328349,0.8568912121893115,1.000000000000566e-07,0.7046059141438987
POINT,177,-5.779809652094714,0.3,0.4169828985269384,0.4214237022312251,1.000000000000566e-07,0.6871185135470014
POINT,128,-5.78352430240184,0.2085626043791342,0.2282221977031843,0.5685097311907723,1.000000000000566e-07,0.7037285113801244
POINT,519,-5.785058812437168,0.01000000000000001,0.5,1,1.000000000000566e-07,0.6769399128794203
POINT,419,-5.790012530634385,0.3,0.5,0.01000000000000001,1.000000000000566e-07,0.4715030092528245
POINT,289,-5.794187257808012,0.2567795449870059,0.02475512661764848,0.4925455802179101,1.000000000000566e-07,0.698572389760775
POINT,427,-5.830493052720833,0.3,0.3925571236727701,0.01000000000000001,1.000000000000566e-07,0.521540419901825
POINT,202,-5.834226844931907,0.1471238818934872,0.1469190102982681,0.6340238850051791,1.000000000000566e-07,0.7011508915273387
POINT,398,-5.852590790719352,0.01000000000000001,0.2640194852791816,0.01000000000000001,1.000000000000566e-07,0.593038387692656
POINT,306,-5.861067933094128,0.01000000000000001,0.01000000000000001,0.4661395241547245,1.000000000000566e-07,0.6982882181092374
POINT,125,-5.887301604621983,0.1946411601063231,0.4345768578284623,0.9393246769175396,1.000000000000566e-07,0.6733588943134966
POINT,220,-5.907221085514477,0.01000000000000001,0.1212241931406512,0.2298341173320882,1.000000000000566e-07,0.6906227274513481
POINT,303,-5.951307999827685,0.108407981025176,0.01000000000000001,1,1.000000000000566e-07,0.688101357057353
POINT,195,-6.001162015903086,0.1853777103598361,0.3203580861020497,0.9629068105605647,1.000000000000566e-07,0.6634573848254142
POINT,292,-6.007504825815467,0.2239632076949319,0.05000453575143993,0.01000000000000001,1.000000000000566e-07,0.6820795530900186
POINT,20,-6.008895821571807,0.10509298574438,0.2503025283432913,0.4972435132809828,6.52545401166798e-05,0.7606276167478317
POINT,235,-6.012404592099099,0.01000000000000001,0.3252497083677171,0.5699370000924965,1.000000000000566e-07,0.6570605914954001
POINT,236,-6.018047361044978,0.01000000000000001,0.1536378610259174,0.9378214234984064,1.000000000000566e-07,0.6680378604298498
POINT,180,-6.057377073934577,0.1772040358234676,0.3799666392997935,0.7112552456103842,1.000000000000566e-07,0.6524896002949987
POINT,181,-6.078256686406655,0.04427665007175015,0.2417162525155879,0.7449148336382364,1.000000000000566e-07,0.6567218935607468
POINT,210,-6.08289599055308,0.1184547015562821,0.1933939654813268,0.1312553506459691,1.000000000000566e-07,0.6616084669075764
POINT,514,-6.136607606045446,0.1537762368070442,0.5,0.01000000000000001,1.000000000000566e-07,0.4376150484773056
POINT,201,-6.143268596084222,0.01000000000000001,0.4222251722614624,0.4570713978519134,1.000000000000566e-07,0.6264076883305381
POINT,207,-6.165463697372169,0.1871324007792746,0.1858963367252158,0.6044197673558114,1.000000000000566e-07,0.647558709071153
POINT,496,-6.182085559294036,0.3,0.4007081645772909,1,1.000000000000566e-07,0.6251324942574317
POINT,456,-6.19305346193082,0.01000000000000001,0.01000000000000001,0.01000000000000001,1.000000000000566e-07,0.650427904533767
POINT,211,-6.20351739582233,0.1279456277027427,0.4784708481269356,0.4862346860826181,1.000000000000566e-07,0.6226029331740017
POINT,411,-6.24200355910672,0.01000000000000001,0.5,0.01000000000000001,1.000000000000566e-07,0.4082064250286654
POINT,442,-6.255305301844089,0.01000000000000001,0.5,1,1.000000000000566e-07,0.6066072661521521
POINT,239,-6.302968868126797,0.3,0.3412313527742253,0.3497004030131543,1.000000000000566e-07,0.612928916511233
POINT,288,-6.346238009431372,0.2300347100434048,0.06596048493861578,1,1.000000000000566e-07,0.6169783369579983
POINT,86,-6.353596541493629,0.2787893000610529,0.4290377587116006,0.4652649285439782,4.817714615915363e-05,0.6151919248170381
POINT,278,-6.392408685903241,0.2829964623851652,0.08902969200306274,0.2240805594934616,1.000000000000566e-07,0.6102014327485363
POINT,134,-6.408573735678628,0.1804085083470106,0.2258327510373923,1,1.000000000000566e-07,0.610725711566833
POINT,318,-6.452775691834206,0.01000000000000001,0.01000000000000001,1,1.000000000000566e-07,0.6128843803545749
POINT,217,-6.502861009599983,0.1041429340106252,0.2959733657354454,0.7048469219545526,1.000000000000566e-07,0.600745654047913
POINT,327,-6.525395112483969,0.01000000000000001,0.09412091374604248,0.01883583098488628,1.000000000000566e-07,0.5964539116289038
POINT,330,-6.544234634415258,0.01000000000000001,0.1157776779886547,0.5006291258875322,1.000000000000566e-07,0.5997458880687601
